clang_time,opt_time,llc_time,bin_size,opt,iteration,grammar_name,data_structure
1.0607458518200001,0.004473333333333333,0.018146666666666665,21414.0,-O0,4,ex9,array
1.2775269488799998,0.0881,0.13166666666666668,14470.0,-O1,4,ex9,array
1.3409789166600001,0.18913333333333335,0.19104000000000002,18370.0,-O2,4,ex9,array
1.3704285645999996,0.2086,0.21675333333333333,21494.0,-O3,4,ex9,array
1.33268101834,0.20939333333333332,0.21899333333333332,21590.0,-O3 -ffast-math,4,ex9,array
1.0544574761,0.007213333333333334,0.026186666666666667,34967.0,-O0,4,ex9,sortedlist
1.2716018066399999,0.11034666666666666,0.15711999999999998,17414.0,-O1,4,ex9,sortedlist
1.31391164796,0.14504,0.14274666666666666,17346.0,-O2,4,ex9,sortedlist
1.31986438576,0.14526,0.15115333333333333,17782.0,-O3,4,ex9,sortedlist
1.32359898362,0.15249333333333331,0.15097333333333335,17878.0,-O3 -ffast-math,4,ex9,sortedlist
1.22559826676,0.006526666666666667,0.02536,29342.0,-O0,5,ex9,array
1.47972199304,0.13434,0.19997333333333334,20358.0,-O1,5,ex9,array
1.6307594584400005,0.25942666666666664,0.26868,24526.0,-O2,5,ex9,array
1.6127213149199997,0.26819333333333334,0.28864666666666666,28866.0,-O3,5,ex9,array
1.6170950915000004,0.28226666666666667,0.28094,28962.0,-O3 -ffast-math,5,ex9,array
1.2930949407200003,0.01002,0.032466666666666665,47984.0,-O0,5,ex9,sortedlist
1.5847125645200004,0.14723333333333333,0.20492666666666667,24194.0,-O1,5,ex9,sortedlist
1.6142345547800003,0.21002666666666667,0.20248666666666668,23701.0,-O2,5,ex9,sortedlist
1.65042451766,0.19979333333333335,0.19932,24369.0,-O3,5,ex9,sortedlist
1.6233645417800002,0.19511333333333333,0.20014666666666667,24465.0,-O3 -ffast-math,5,ex9,sortedlist
1.4401543245399997,0.007846666666666667,0.029586666666666667,37190.0,-O0,6,ex9,array
1.8522412826799997,0.17347333333333334,0.24926,26022.0,-O1,6,ex9,array
1.9207249867200005,0.31961999999999996,0.30292,30190.0,-O2,6,ex9,array
1.9590931163600007,0.33542,0.35024000000000005,35490.0,-O3,6,ex9,array
1.9045795262399994,0.33288,0.35297999999999996,35586.0,-O3 -ffast-math,6,ex9,array
1.4967838510200002,0.011433333333333334,0.03983333333333334,60985.0,-O0,6,ex9,sortedlist
1.82638881656,0.18858666666666668,0.25284666666666666,30337.0,-O1,6,ex9,sortedlist
1.89688004008,0.24360666666666667,0.25571333333333335,29869.0,-O2,6,ex9,sortedlist
1.9074941930600002,0.25259333333333334,0.27238,30857.0,-O3,6,ex9,sortedlist
1.93675286596,0.26337333333333335,0.27292666666666665,30953.0,-O3 -ffast-math,6,ex9,sortedlist
1.6687405230400003,0.008700000000000001,0.03661333333333334,45246.0,-O0,7,ex9,array
2.0958033970200005,0.21185333333333334,0.30078666666666665,31718.0,-O1,7,ex9,array
2.2689005876600006,0.4098266666666667,0.3983466666666667,36478.0,-O2,7,ex9,array
2.2795600963600005,0.4257266666666667,0.43664,42450.0,-O3,7,ex9,array
2.30471944624,0.4145466666666667,0.42367333333333335,42546.0,-O3 -ffast-math,7,ex9,array
1.6951010386600003,0.015066666666666667,0.04494666666666667,74076.0,-O0,7,ex9,sortedlist
2.1142581811599994,0.23888666666666666,0.34342,37665.0,-O1,7,ex9,sortedlist
2.3807498338800004,0.3160866666666667,0.3277,36377.0,-O2,7,ex9,sortedlist
2.29956485362,0.32522,0.3518466666666667,37521.0,-O3,7,ex9,sortedlist
2.35773664598,0.3460933333333333,0.3494533333333333,37617.0,-O3 -ffast-math,7,ex9,sortedlist
1.9058040642999996,0.011886666666666667,0.04218,53206.0,-O0,8,ex9,array
2.42916678204,0.24063333333333334,0.35087999999999997,37802.0,-O1,8,ex9,array
2.6998422709400005,0.46609333333333336,0.46448666666666666,42822.0,-O2,8,ex9,array
2.5805934994400004,0.5264533333333333,0.5359133333333334,49690.0,-O3,8,ex9,array
2.5661122533999996,0.54144,0.5555266666666667,49786.0,-O3 -ffast-math,8,ex9,array
1.9604671432999996,0.019473333333333336,0.0582,87074.0,-O0,8,ex9,sortedlist
2.5572127703000005,0.29563999999999996,0.40845333333333333,44313.0,-O1,8,ex9,sortedlist
2.6107744910200013,0.41037999999999997,0.38732,43297.0,-O2,8,ex9,sortedlist
2.54520472208,0.37490666666666667,0.37776,44785.0,-O3,8,ex9,sortedlist
2.59797787714,0.3754933333333333,0.37634666666666666,44881.0,-O3 -ffast-math,8,ex9,sortedlist
2.05162341212,0.012673333333333333,0.04195333333333333,61294.0,-O0,9,ex9,array
2.54396849116,0.2716733333333333,0.41109333333333337,43786.0,-O1,9,ex9,array
2.8035059782200005,0.50512,0.51728,48986.0,-O2,9,ex9,array
2.759864140259999,0.5602666666666667,0.5690066666666667,56654.0,-O3,9,ex9,array
2.801896645,0.5515266666666666,0.6145266666666667,56750.0,-O3 -ffast-math,9,ex9,array
2.05070616414,0.019386666666666667,0.05506,100074.0,-O0,9,ex9,sortedlist
2.6414284647399997,0.3195866666666667,0.4553933333333333,51154.0,-O1,9,ex9,sortedlist
2.7439509874,0.42306000000000005,0.43362,49566.0,-O2,9,ex9,sortedlist
2.76339507504,0.43224,0.43023333333333336,51146.0,-O3,9,ex9,sortedlist
2.7709722421599996,0.44400666666666666,0.44793333333333335,51242.0,-O3 -ffast-math,9,ex9,sortedlist
2.14038161872,0.015073333333333333,0.04853333333333333,69158.0,-O0,10,ex9,array
2.74096628344,0.32998666666666665,0.46767333333333333,49522.0,-O1,10,ex9,array
2.9836843145800005,0.6313666666666666,0.62974,55678.0,-O2,10,ex9,array
3.090002558640001,0.7424933333333333,0.7021999999999999,64386.0,-O3,10,ex9,array
3.12515517448,0.6443533333333333,0.6552733333333334,64482.0,-O3 -ffast-math,10,ex9,array
2.2178147741400007,0.02016,0.06278,113225.0,-O0,10,ex9,sortedlist
2.8358182413199997,0.35929333333333335,0.4852933333333333,57957.0,-O1,10,ex9,sortedlist
2.9979266458200002,0.47544,0.45414666666666664,55605.0,-O2,10,ex9,sortedlist
