execution_time_speedup,execution_time_with_profile,execution_time_no_profile,instructions_with_value,instructions_no_value,cpu_cycles_with_profile,cpu_cycles_no_profile,i_path,path_value,opt,iteration,program,data_structure
0.8873803543674921,154.63698569508003,174.26234977368003,1361092438556.0,1360719186909.0,530859303781.0,598447585993.0,38,274877906943,-O2,9,ex0,array
0.8998309606062704,154.49296774160666,171.69110033457332,1361104069614.0,1360707301434.0,529388941484.0,583774674441.0,39,549755813887,-O2,9,ex0,array
0.8946212466112997,148.92646774989333,166.46873558392,1361302083535.0,1360913172528.0,517134909270.0,584947092058.0,40,1099511627775,-O2,9,ex0,array
0.8769428440100189,148.92044034579337,169.81772684844668,1361300048917.0,1360928622133.0,517592087891.0,584405411328.0,41,2199023255551,-O2,9,ex0,array
0.8845287966519717,149.04355895822664,168.50051634539332,1361283263534.0,1360925131959.0,515804222955.0,582703390902.0,42,4398046511103,-O2,9,ex0,array
0.8855457515178208,148.97951113751336,168.23468565250667,1361307769036.0,1360918746285.0,517342326485.0,583617320149.0,43,8796093022207,-O2,9,ex0,array
0.8877318926868292,148.74217119681998,167.5530330972267,1361520016726.0,1361120043791.0,515254373155.0,580925104992.0,44,17592186044415,-O2,9,ex0,array
0.8731056144032274,145.90916177412666,167.1151340309,1361513047652.0,1361139704523.0,515328116551.0,583798801888.0,45,35184372088831,-O2,9,ex0,array
0.8816105347199504,147.66232145287333,167.4915573686733,1361491808514.0,1361125900980.0,515048187648.0,583725182733.0,46,70368744177663,-O2,9,ex0,array
0.8856885365516237,148.77756738181336,167.97955629082665,1361718645275.0,1361329634124.0,515313433202.0,582640111035.0,47,140737488355327,-O2,9,ex0,array
0.8798006366403895,147.2023822436,167.31333908294002,1361725133675.0,1361336066253.0,517307564098.0,582079837736.0,48,281474976710655,-O2,9,ex0,array
0.8918045347524484,149.35758746050666,167.47794123066004,1361724685963.0,1361342330935.0,515355612436.0,582887422330.0,49,562949953421311,-O2,9,ex0,array
0.8882448921788084,148.84767982980665,167.57504731008666,1361939781461.0,1361563923192.0,515133839126.0,582820632320.0,50,1125899906842623,-O2,9,ex0,array
0.8825171124214685,147.7581909095867,167.42813122814667,1361930932433.0,1361560053373.0,515092931836.0,582566162427.0,51,2251799813685247,-O2,9,ex0,array
0.8815473148486757,147.52955884532665,167.35296717528,1361914974489.0,1361552153872.0,515429163768.0,582927795476.0,52,4503599627370495,-O2,9,ex0,array
0.8833124117824122,146.61023493572,165.9777820169867,1361937314451.0,1361549382734.0,516251253251.0,581915310588.0,53,9007199254740991,-O2,9,ex0,array
0.8958691144002405,147.60102204836,164.75735090741998,1362151249675.0,1361756656250.0,515715194988.0,581910720404.0,54,18014398509481983,-O2,9,ex0,array
0.8773351057274968,146.49764394319334,166.98025986514665,1362140960917.0,1361769872916.0,515769010662.0,583250604014.0,55,36028797018963967,-O2,9,ex0,array
0.899746773837627,148.07193965788,164.57068139996667,1362145619014.0,1361774319571.0,515884688537.0,583083700981.0,56,72057594037927935,-O2,9,ex0,array
0.879617790783185,147.35912247203336,167.52630974054,1362365643615.0,1361959816334.0,515572174157.0,582943091479.0,57,144115188075855871,-O2,9,ex0,array
0.8950743957595716,149.78326408543333,167.34169226048002,1362359038306.0,1361970303065.0,515948762041.0,584484236610.0,58,288230376151711743,-O2,9,ex0,array
0.8891582731201706,149.28960375796666,167.8999209376867,1362356217674.0,1361977076060.0,516708103458.0,581997941812.0,59,576460752303423487,-O2,9,ex0,array
0.8742464505790092,145.42168440848,166.33946218731333,1362581787508.0,1362177650422.0,516506576357.0,580967709956.0,60,1152921504606846975,-O2,9,ex0,array
0.867075422022133,144.57659758769998,166.74050943634003,1362565799247.0,1362186190699.0,517031627850.0,582790568224.0,61,2305843009213693951,-O2,9,ex0,array
0.8916846621929915,151.23345072729333,169.60418535780664,1362566239991.0,1362187563265.0,515667402279.0,582043074449.0,62,4611686018427387903,-O2,9,ex0,array
0.8794512232788306,147.20343651189333,167.3810128583133,1362551871220.0,1362170281077.0,515655388459.0,582781811752.0,63,9223372036854775807,-O2,9,ex0,array
0.8840328377594509,144.00534874288667,162.89592715567332,1362837606645.0,1362457107627.0,515505331447.0,582630235179.0,64,18446744073709551615,-O2,9,ex0,array
