binary_size,compilation_time,execution_time,opt,compiler,program,data_structure,iterations
51331,4.591,86.581,-Ofast,clang-21,ex8,sortedlist,10
96366,2.308,96.854,-O0,gcc-14,ex9,sortedlist,10
56505,3.024,88.67,-O1,gcc-14,ex9,sortedlist,10
61164,3.676,82.253,-O2,gcc-14,ex9,sortedlist,10
60668,3.863,81.587,-O3,gcc-14,ex9,sortedlist,10
44353,3.595,85.224,-Os,gcc-14,ex9,sortedlist,10
60764,3.857,81.122,-Ofast,gcc-14,ex9,sortedlist,10
91603,3.668,91.435,-O0,clang-21,ex9,sortedlist,10
51974,4.633,82.158,-O1,clang-21,ex9,sortedlist,10
50014,4.817,81.221,-O2,clang-21,ex9,sortedlist,10
51235,4.765,82.297,-O3,clang-21,ex9,sortedlist,10
44579,4.754,83.504,-Os,clang-21,ex9,sortedlist,10
44962,4.694,84.185,-Oz,clang-21,ex9,sortedlist,10
51331,4.769,85.533,-Ofast,clang-21,ex9,sortedlist,10
