gcc_compilation_time,gcc_program_time,bin_size,opt,iteration,grammar_name,data_structure,compiler
3.07852937798,141.29023404354,53393.0,-O0,8,ex8,array,gcc5
3.66441091244,54.1296163728,37353.0,-O1,8,ex8,array,gcc5
4.23883860954,36.676705659199996,37002.0,-O2,8,ex8,array,gcc5
4.956582857809999,23.469235437580004,52949.0,-O3,8,ex8,array,gcc5
3.9868272319,56.324378372450006,28950.0,-Os,8,ex8,array,gcc5
3.4476723659100004,84.36158400943002,37836.0,-Og,8,ex8,array,gcc5
3.25871354656,138.76467296417,53350.0,-O0,8,ex8,array,gcc7
3.965198482550001,52.97392360004002,38324.0,-O1,8,ex8,array,gcc7
4.57340031851,35.594802602650006,35702.0,-O2,8,ex8,array,gcc7
5.3285338619400004,24.994842662179998,53721.0,-O3,8,ex8,array,gcc7
4.32904878492,53.47882281397999,28511.0,-Os,8,ex8,array,gcc7
3.6967501409900003,62.06745369045001,38689.0,-Og,8,ex8,array,gcc7
3.15440617557,140.46661401282,53465.0,-O0,8,ex8,array,gcc9
3.95187682126,50.67836478679,36565.0,-O1,8,ex8,array,gcc9
4.690944384020002,34.404154119999994,36462.0,-O2,8,ex8,array,gcc9
5.145567451609999,21.425524503810003,43977.0,-O3,8,ex8,array,gcc9
4.41134754423,56.7298517124,28669.0,-Os,8,ex8,array,gcc9
3.6853334325200002,71.69363395449,38266.0,-Og,8,ex8,array,gcc9
3.33059735076,139.2766761439,53361.0,-O0,8,ex8,array,gcc11
4.243414703000001,51.479132951539995,36569.0,-O1,8,ex8,array,gcc11
5.02307963256,33.16665614136001,36475.0,-O2,8,ex8,array,gcc11
5.52722831975,22.119676314920007,44054.0,-O3,8,ex8,array,gcc11
4.727301998910001,52.3053311474,29192.0,-Os,8,ex8,array,gcc11
3.9549311640700004,64.30193441027001,38336.0,-Og,8,ex8,array,gcc11
3.6046893953400003,139.3950646511,53374.0,-O0,8,ex8,array,gcc13
4.64655427349,48.34293595786,36630.0,-O1,8,ex8,array,gcc13
5.733340966839999,30.997675474290002,40702.0,-O2,8,ex8,array,gcc13
6.16064601892,21.52530274184,45190.0,-O3,8,ex8,array,gcc13
5.1433675482200005,59.41342191587,28775.0,-Os,8,ex8,array,gcc13
4.14205036229,62.56669745304,38309.0,-Og,8,ex8,array,gcc13
4.052696014810001,130.68500581141996,53374.0,-O0,8,ex8,array,gcc14
5.21504486071,36.64734727807,36630.0,-O1,8,ex8,array,gcc14
6.48664967511,24.290964879260002,40926.0,-O2,8,ex8,array,gcc14
6.936953589290001,16.91849037696,45902.0,-O3,8,ex8,array,gcc14
5.6899302908400005,37.997698463169996,28852.0,-Os,8,ex8,array,gcc14
4.496002036349999,44.03327333,38309.0,-Og,8,ex8,array,gcc14
